preset_name,reg_idx,reg_name,hex_value
Echo,30,mRAPF1,0x1002
Echo,31,mLAPF2,0x0004
Echo,32,mRAPF2,0x0002
Echo,33,vLIN,0x8000
Echo,34,vRIN,0x8000
Delay,0,vLOUT,0x0000
Delay,1,vROUT,0x0000
Delay,2,mBASE,0x0000
Delay,3,dAPF1,0x0001
Delay,4,dAPF2,0x0001
Delay,5,vIIR,0x7fff
Delay,6,vCOMB1,0x7fff
Delay,7,vCOMB2,0x0000
Delay,8,vCOMB3,0x0000
Delay,9,vCOMB4,0x0000
Delay,10,vWALL,0x0000
Delay,11,vAPF1,0x0000
Delay,12,vAPF2,0x0000
Delay,13,mLSAME,0x1fff
Delay,14,mRSAME,0x0fff
Delay,15,mLCOMB1,0x1005
Delay,16,mRCOMB1,0x0005
Delay,17,mLCOMB2,0x0000
Delay,18,mRCOMB2,0x0000
Delay,19,dLSAME,0x1005
Delay,20,dRSAME,0x0005
Delay,21,mLDIFF,0x0000
Delay,22,mRDIFF,0x0000
Delay,23,mLCOMB3,0x0000
Delay,24,mRCOMB3,0x0000
Delay,25,mLCOMB4,0x0000
Delay,26,mRCOMB4,0x0000
Delay,27,dLDIFF,0x0000
Delay,28,dRDIFF,0x0000
Delay,29,mLAPF1,0x1004
Delay,30,mRAPF1,0x1002
Delay,31,mLAPF2,0x0004
Delay,32,mRAPF2,0x0002
Delay,33,vLIN,0x8000
Delay,34,vRIN,0x8000
